5210;CANDAS-APEADERO;CALLE NUESTRA SEÑORA COVADEONGA, 9;Carreño;NO;SI
5211;CANDAS;AVENIDA JOSE MARIA FERNANDEZ LADRERA, 27;Carreño;NO;SI
5213;REGUERAL;BARRIO REGUERAL, 19 - ESTACION FERROCARRIL, S/N;Carreño;NO;SI
5215;ZANZABORNIN;CARRETERA CE-1 - ESTACION FERROCARRIL, S/N;Carreño;NO;SI
5216;GUDIN LAMINACION;CARRETERA AS-19 - ESTACION FERROCARRIL, S/N;Corvera de Asturias;NO;SI
5217;TRASONA;CARRETERA AS-19 - ESTACION FERROCARRIL, S/N;Corvera de Asturias;NO;SI
5218;OFICINAS;AVENIDA DE GJON - ESTACION FERROCARRIL, S/N;Corvera de Asturias;NO;SI
5219;LLARANES;PLAZA ENSIDESA, 29;Avilés;NO;SI
5220;CRISTALERIA;BARRIO LA MARUCA, 110 - ESTACION DE FERROCARRIL, S/N;Avilés;NO;SI
5221;AVILES-APEADERO;CALLE DEL MUELLE, S/N;Avilés;NO;SI
5224;RAICES;CALLE ANTONIO MACHADO, 2 - ESTACION FERROCARRIL, S/N;Castrillón;NO;SI
5225;SALINAS;CALLE EL ALG?IL, S/N;Castrillón;NO;SI
5227;PIEDRAS BLANCAS;CALLE ESTACION FERROCARRIL, S/N;Castrillón;NO;SI
5229;VEGARROZADAS;AVENIDA GALICIA - ESTACION FERROCARRIL, S/N;Castrillón;NO;SI
5231;SANTIAGO DEL MONTE;CARRETERA N-632 - ESTACION FERROCARRIL, S/N;Castrillón;NO;SI
5232;EL PARADOR;CALLE PARADOR, S/N;Soto del Barco;NO;SI
5233;SOTO DEL BARCO;CALLE ESTACION FERROCARRIL, S/N;Soto del Barco;NO;SI
5235;RIBERAS;CARRETERA AS-16 - ESTACION FERROCARRIL, S/N;Soto del Barco;NO;SI
5237;PEÑAULLAN;CALLE ALDEA PEÑAULLAN, 801;Pravia;NO;SI
5239;SANTIANES;CALLE LUGAR SANTIANES, 49;Pravia;NO;SI
5241;LOS CABOS;CARRETERA AS-224 - ESTACION FERROCARRIL, S/N;Pravia;NO;SI
5243;MUROS DE NALON;CALLE DE FRANCISCO CABAL, S/N;Muros de Nalón;NO;SI
5244;EL PITO PIÑERA;CARRETERA N-632 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5245;CUDILLERO;CALLE JUAN ANTONIO BRAVO - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5247;VILLADEMAR;CARRETERA CU-1 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5249;LA MAGDALENA;CARRETERA N-632A - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5251;SAN MARTIN DE LUIÑA;CARRETERA AS-222 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5253;SAN COSME;CARRETERA AS-222 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5255;SOTO DE LUIÑA;CARRETERA CU-7 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5257;VALDREDO;CALLE ESTACION FERROCARRIL S/N;Cudillero;NO;SI
5259;NOVELLANA;CARRETERA N-632 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5261;SANTA MARINA;CARRETERA N-632 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5263;BALLOTA;CARRETERA N-632 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5265;TABLIZO;CARRETERA N-632A - ESTACION FERROCARRIL, S/N;Valdés;NO;SI
5267;CADAVEDO;CARRETERA AS-268 - ESTACION FERROCARRIL, S/N;Valdés;NO;SI
5269;SAN CRISTOBAL;CARRETERA SAN CRISTOBAL - QUINTANA - ESTACION FERROCARRIL, S/N;Valdés;NO;SI
5271;CANERO;CARRETERA N-632A - ESTACION FERROCARRIL, S/N;Valdés;NO;SI
5273;BARCIA;CALLE ESTACION FERROCARRIL S/N;Valdés;NO;SI
5275;LUARCA;AVENIDA ESTACION FERROCARRIL, S/N;Valdés;NO;SI
5277;OTUR;CARRETERA N-634, KM. 511 - ESTACION FERROCARRIL, S/N;Valdés;NO;SI
5279;VILLAPEDRE;CARRETERA NV-2 - ESTACION FERROCARRIL, S/N;Navia;NO;SI
5281;PIÑERA-VILLAORIL;CARRETERA NACIONAL 634, APEADERO DEL FERROCARRIL;Navia;NO;SI
5283;NAVIA;AVENIDA MANUEL SUAREZ, 8;Navia;NO;SI
5285;MEDAL;CARRETERA CÑ-6 - ESTACION FERROCARRIL, S/N;Coaña;NO;SI
5287;LOZA;CARRETERA CÑ-6 - ESTACION FERROCARRIL, S/N;Coaña;NO;SI
5289;CARTAVIO;CARRETERA CÑ-6 - ESTACION FERROCARRIL, S/N;Coaña;NO;SI
5291;LA CARIDAD;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Franco, El;NO;SI
5293;TAPIA;CARRETERA AS-31 - ESTACION FEROCARRIL, S/N;Tapia de Casariego;NO;SI
5295;TOL;CARRETERA AS-32 - ESTACION FEROCARRIL, S/N;Castropol;NO;SI
5297;LAS CAMPAS DE CASTROPOL;La Campas, 4 (A);Castropol;NO;SI
5299;CASTROPOL;CARRETERA N-640 - ESTACION FERROCARRIL, S/N;Castropol;NO;SI
5300;VALLOBIN;PLAZA ANGEL GONZALEZ, S/N;Oviedo;NO;SI
5301;LA ARGAÑOSA-LAVAPIES;CALLE FAVILA, S/N;Oviedo;NO;SI
5302;LAS CAMPAS;CALLE PROAZA, S/N;Castropol;NO;SI
5303;LAS MAZAS;CARRETERA A-232 - ESTACION FERROCARRIL, S/N;Oviedo;NO;SI
5304;SAN CLAUDIO;CALLE ESTACION FERROCARRIL, S/N;Oviedo;NO;SI
5306;SAN PEDRO NORA;CARRETERA A-233 - ESTACION FERROCARRIL, S/N;Oviedo;NO;SI
5308;SOTO UDRION;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Oviedo;NO;SI
5311;TRUBIA;CALLE SUAREZ INCLAN, 31;Oviedo;NO;SI
5313;SANTA MARIA DE GRADO;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Grado;NO;SI
5315;VEGA DE ANZO;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Grado;NO;SI
5316;PEÑAFLOR DE GRADO;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Grado;NO;SI
5317;GRADO;CALLE JOVE Y VALDES, 18;Grado;NO;SI
5319;SANDICHE;CARRETERA AS-237 - ESTACION FERROCARRIL, S/N;Candamo;NO;SI
5320;ACES;CARRETERA CD-2 - ESTACION FERROCARRIL, S/N;Candamo;NO;SI
5321;SAN ROMAN;CARRETERA AS-236 - ESTACION FERROCARRIL, S/N;Candamo;NO;SI
5323;BEIFAR;CARRETERA AS-236 - ESTACION FERROCARRIL, S/N;Pravia;NO;SI
5325;PRAVIA;CALLE SUAREZ PAZOS, 1;Pravia;NO;SI
5327;SAN RANON;CARRETERA A-8 - ESTACION FERROCARRIL, S/N;Pravia;NO;SI
5329;SAN ESTEBAN;CALLE CASTO PLASENCIA, 6;Muros de Nalón;NO;SI
5361;BAIÑA;CALLE CUESTA PEÑULE - ESTACION FERROCARRIL, S/N;Mieres;NO;SI
5369;MIERES VASCO;CALLE RIO EO, 57;Mieres;NO;SI
5371;CAUDALIA;AVENIDA DEL CAMINO, S/N - JUNTO HOSPITAL ALVAREZ BUYLLA;Mieres;NO;SI
5373;FIGAREDO;CUESTA ESTACION FIGAREDO, 58;Mieres;NO;SI
5375;UJO TARUELO;CARRETERA AS-112 - ESTACION FERROCARRIL, S/N;Mieres;NO;SI
5376;SANTA CRUZ;CALLE JOSE GARCIA LORENZO - ESTACION FERROCARRIL, S/N;Mieres;NO;SI
5377;CABORANA;AVENIDA DE ALLER, S/N;Aller;NO;SI
5379;MOREDA DE ALLER;AVENIDA CONSTITUACION, 100 - CALLE ESTACION FERROCARRIL, S/N;Aller;NO;SI
5380;SAN ANTONIO;CARRETERA AS-112A - ESTACION FERROCARRIL, S/N;Aller;NO;SI
5381;OYANCO;BARRIO SANTA BARBARA - ESTACION FERROCARRIL, S/N;Aller;NO;SI
5382;CORIGOS;CARRETERA AS-112 - ESTACION FERROCARRIL, S/N;Aller;NO;SI
5383;PIÑERES;CARRETERA AS-112A - ESTACION FERROCARRIL, S/N;Aller;NO;SI
5384;SANTA ANA-SOTO;CARRETERA AS-112 - ESTACION FERROCARRIL, S/N;Ribera de Arriba;NO;SI
5385;CABAÑAQUINTA;AVENIDA FRANCISCO CABRERA, 16;Aller;NO;SI
5387;LEVINCO;CARRETERA A-253 - ESTACION FERROCARRIL, S/N;Aller;NO;SI
5389;COLLANZO;CALLE CARRETERA GENERAL, S/N;Aller;NO;SI
5403;TREMAÑES-LANGREO;CAMINO DE TREMAÑES-GIJÓN, APEADERO DEL FERROCARRIL, S/N;Gijón;NO;SI
5405;SOTIELLO;CARRETERA GI-4 - BARRIO SOTIELLO, 6;Gijón;NO;SI
5407;PINZALES;CARRETERA AS-266 - ESTACION FERROCARRIL, S/N;Gijón;NO;SI
5409;AGUDA;CALLE ESTACION FERROCARRIL S/N;Gijón;NO;SI
5410;XIXUN;CARRETERA AS-246 - ESTACION FERROCARRIL, S/N;Siero;NO;SI
5411;LA FLORIDA;CALLE ESTACION FERROCARRIL S/N;Siero;NO;SI
5412;PUENTE BURACOS;CALLE ESTACION FERROCARRIL S/N;Siero;NO;SI
5413;NOREÑA;AVENIDA DE GIJON, 19;Noreña;NO;SI
5415;BENDICION;CARRETERA SI-8 - ESTACION FERROCARRIL, S/N;Siero;NO;SI
5416;VALDESOTO;CARRETERA SI-16 - ESTACION FERROCARRIL, S/N;Siero;NO;SI
5417;CARBAYIN;CARRETERA AS-249 - ESTACION FERROCARRIL, S/N;Siero;NO;SI
5420;CURUXONA;CARRETERA AS-323 - ESTACION FERROCARRIL, S/N;Siero;NO;SI
5421;TUILLA;BARRIO ESTACION FERROCARRIL, 1;Langreo;NO;SI
5425;LA FELGUERA-VEGA;CALLE INTERVENTOR LA CIERVA, S/N - AVENIDA GIJON, S/N;Langreo;NO;SI
5429;SAMA-LOS LLERONES;CALLE UNION, 1;Langreo;NO;SI
5431;CIAÑO-ESCOBIO;CARRETERA AS-117 - ESTACION FERROCARRIL, S/N;Langreo;NO;SI
5432;SAN VICENTE;CALLE SAN VICENTE - ESTACION FERROCARRIL, S/N;San Martín del Rey Aurelio;NO;SI
5433;EL ENTREGO-LA OSCURA;CALLE MAXIMO FERNANDEZ COCAÑIN, S/N;San Martín del Rey Aurelio;NO;SI
5435;CARROCERA;CALLE LA GRANJA, S/N;San Martín del Rey Aurelio;NO;SI
5436;SAN MARTIN;PLAZA INDUSTRIAL LA FLORIDA, S/N;San Martín del Rey Aurelio;NO;SI
5437;SOTRONDIO;CALLE ESTANISLAO INFANZON, 9;San Martín del Rey Aurelio;NO;SI
5439;BLIMEA;AVENIDA DE LA LIBERTAD, S/N;San Martín del Rey Aurelio;NO;SI
5441;BARREDOS;CALLE ESTACION FERROCARRIL, S/N;Laviana;NO;SI
5443;LAVIANA;CALLE DE TEJERA NORTE, 4;Laviana;NO;SI
5451;BILBAO-LA CONCORDIA;BAILEN KALEA, 2;Bilbao;NO;SI
5455;BASURTO HOSPITAL;BENTA ESTRATA, 2;Bilbao;NO;SI
5457;ZORROTZA-ZORROZGOITI;ZORROTZA KASTREXANA ERREPIDEA, 39;Bilbao;NO;SI
5459;SANTA AGUEDA;EZKERRIBAI ESTRATA, S/N;Bilbao;NO;SI
5460;KASTREXANA;CARRETERA BI-3742 - ZORROTZA KASTREXANA ERREPIDEA;Bilbao;NO;SI
5461;IRAUREGI;BAZTEITA AUZOA, 2;Alonsotegi;NO;SI
5463;ZARAMILLO;GELTOKI BIDEA - CARRETERA BI-3651;Güeñes;NO;SI
5465;LA QUADRA;ASKATASUNA KALEA, 21;Güeñes;NO;SI
5467;SODUPE;GUDARI PLAZA, 1;Güeñes;NO;SI
5469;ARTXUBE;ARTXUBE KALEA, 2;Güeñes;NO;SI
5470;LAMBARRI;LAMBARRI KALEA - CARRETERA BI-3651 - ESTACION FERROCARRIL, S/N;Güeñes;NO;SI
5471;GÜEÑES;ENKARTERRI KALEA, S/N;Güeñes;NO;SI
5473;ARANGUREN;BIDEA ESTACION, 1;Zalla;NO;SI
5474;ARANGUREN-APEADERO;NICOLAS MARIA URGOITI KALEA - AUTONOMIA PLAZA, S/N;Zalla;NO;SI
5475;ZALLA;DOCTOR ANDRES AYA GOÑI KALEA, S/N;Zalla;NO;SI
5477;COLEGIO;ETORBIDEA LEHENDAKARI JOSE ANTONIO AGIRRE, 17;Güeñes;NO;SI
5479;IBARRA;GOBEO AUZOA, 14;Zalla;NO;SI
5480;BOLUNBURU;BARRIO BOLUMBURU - ESTACION FERROCARRIL, S/N;Zalla;NO;SI
5481;LA HERRERA;IJALDE AUZOA, 9;Zalla;NO;SI
5483;BALMASEDA;ESTACION KALEA, 3;Balmaseda;NO;SI
5484;MIMETIZ;Retola, 32;Zalla;NO;SI
5485;LA CALZADA;LA CALZADA KALEA 3;Balmaseda;NO;SI
5487;TRASLAVIÑA;CARRETERA BI-630 - LA HERBOSA AUZOA, 76;Artzentales;NO;SI
5489;ARTZENTALES;CALLE ESTACION FERROCARRIL, S/N;Artzentales;NO;SI
5493;VILLAVERDE DE TRUCIOS;LAURETA AUZOA, 29;Trucios-Turtzioz;NO;SI
5497;KARRANTZA;AMBASAGUAS AUZOA, 9;Karrantza Harana/Valle de Carranza;NO;SI
5504;PARQUE PRINCIPADO;CALLE ALDEA PAREDES, S/N;Oviedo;NO;SI
5505;COLLOTO;CALLE ESTACION FERROCARRIL, S/N;Siero;NO;SI
5507;MERES;CALLE ESTACION FERROCARRIL, S/N;Siero;NO;SI
5508;FONCIELLO;CARRETERA NACIONAL 634, S/N;Siero;NO;SI
5509;EL BERRON;CALLE ESTACION FERROCARRIL, S/N;Siero;NO;SI
5511;LA CARRERA DE SIERO;CALLE DEL LLUGAR DE ARRIBA, S/N;Siero;NO;SI
5513;POLA DE SIERO;CALLE MOLIN, S/N;Siero;NO;SI
5515;LOS CORROS;CARRETERA AS-249 - ESTACION FERROCARRIL, S/N;Siero;NO;SI
5517;LIERES;CALLE ESTACION FERROCARRIL, S/N;Siero;NO;SI
5521;EL REMEDIO;CARRETERA NA-4 - ESTACION FERROCARRIL, S/N;Siero;NO;SI
5522;LLAMES;CALLE ESTACION FERROCARRIL, S/N;Nava;NO;SI
5523;NAVA;CALLE LA BARRACA, S/N;Nava;NO;SI
5525;FUENTE SANTA DE NAVA;CARRETERA NA-3 - ESTACION FERROCARRIL, S/N;Nava;NO;SI
5527;CECEDA;CASERIO VEGA DE ABAJO, 10;Nava;NO;SI
5529;CARANCOS;AVDA. DE LA ESTACIÓN S/N;Nava;NO;SI
5531;PINTUELES;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Piloña;NO;SI
5533;INFIESTO;AVENIDA DE LA CUEVA, 2;Piloña;NO;SI
5534;INFIESTO-APEADERO;CALLE LA MEDINA, S/N;Piloña;NO;SI
5535;VILLAMAYOR;CALLE ESTACION FERROCARRIL, 1;Teverga;NO;SI
5537;SEBARES;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Piloña;NO;SI
5539;SOTO DE DUEÑAS;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Parres;NO;SI
5541;OZANES;CARRETERA PR-4 - ESTACION FERROCARRIL, S/N;Parres;NO;SI
5542;POLICLINICO;CALLE CASTAÑERA, S/N;Parres;NO;SI
5543;ARRIONDAS;CALLE EVARISTO VALLE, 1;Parres;NO;SI
5545;FUENTES;CALLE FUENTES, S/N;Parres;NO;SI
5547;TORAÑO;CALLE ESTACION FERROCARRIL S/N;Parres;NO;SI
5549;CUEVAS;CALLE ESTACION FERROCARRIL S/N;Ribadesella;NO;SI
5551;LLOVIO;GLORIETA CARRETERA N-632 Y N-634 - ESTACION FERROCARRIL, S/N;Ribadesella;NO;SI
5552;RIBADESELLA PUERTO  ;Barrio Orellana, 10;Ribadesella;NO;SI
5553;RIBADESELLA;CALLE DEL FUERTE, S/N;Ribadesella;NO;SI
5555;CAMANGO;CARRETERA AS-263 - ESTACION FERROCARRIL, S/N;Ribadesella;NO;SI
5557;BELMONTE DE PRIA;CARRETERA AS-263 - ESTACION FERROCARRIL, S/N;Llanes;NO;SI
5559;NUEVA;CALLE NUEVA, 42;Llanes;NO;SI
5561;VILLAHORMES;CARRETERA AS-263 - ESTACION FERROCARRIL, S/N;Llanes;NO;SI
5563;POSADA;CALLE ALDEA POSADA, S/N;Llanes;NO;SI
5565;BALMORI;CARRETERA AS-263 - ESTACION FERROCARRIL S/N;Llanes;NO;SI
5567;CELORIO;CARRETERA AS-263 - ESTACION FERROCARRIL, S/N;Llanes;NO;SI
5569;POO;CARRETERA AS-263 - ESTACION FERROCARRIL, S/N;Llanes;NO;SI
5571;LLANES;BARRIO DE LA ESTACION, 2;Llanes;NO;SI
5573;SAN ROQUE DEL ACEBAL;PLAZA SAN ROQUE, 306;Llanes;NO;SI
5575;VIDIAGO;CALLE RIEGO, S/N;Llanes;NO;SI
5577;PENDUELES;CARRETERA LLN-3 - ESTACION FERROCARRIL, S/N;Llanes;NO;SI
5579;COLOMBRES;CALLE ESTACION FERROCARRIL S/N;Ribadedeva;NO;SI
5602;VALDECILLA LA MARGA;AVENIDA PARAYAS, S/N - POLIGONO INDUSTRIAL CANDINA;Santander;NO;SI
5603;CAZOÑA;CARRETERA N-611 - ESTACION FERROCARRIL, S/N;Santander;NO;SI
5604;ADARZO;CALLE ADARZO, 77 - CALLE LUIS QUINTANILLA ISASI, S/N;Santander;NO;SI
5605;BEZANA;CALLE LA SOLEDAD, 12;Santa Cruz de Bezana;NO;SI
5607;MORTERA;CARRETERA S-464 - ESTACION FERROCARRIL, S/N;Santa Cruz de Bezana;NO;SI
5609;BOO DE PIELAGOS;BARRIO SAN JUAN, 4;Piélagos;NO;SI
5611;MOGRO;CALLE MIES DEHESA, S/N;Miengo;NO;SI
5613;GORNAZO;CARRETERA CA-322 - ESTACION FERROCARRIL, S/N;Miengo;NO;SI
